unixtime,price,amount
1474829029,597.1,0.099
1474829031,597.1,0.7
1474829033,597.1,0.08
1474829035,597.1,0.193
1474829037,597.1,0.09
1474829040,597.1,0.019
1474829042,597.1,0.01
1474829044,597.1,1.0
1474829046,597.1,0.415
1474829049,597.1,0.097
1474829052,597.1,0.88
1474829054,597.1,0.797
1474829057,597.1,0.01
1474829059,597.1,0.02
1474829061,597.1,0.022
1474829064,597.1,0.652
1474829066,597.1,0.1
1474829069,597.1,0.212
1474829071,597.1,0.12
1474829073,597.1,0.167
1474829073,597.1,0.166
1474829073,597.1,0.162
1474829075,597.1,0.006
1474829075,596.14,0.084
1474829077,596.14,0.536
1474829120,596.45,0.161
1474829120,596.45,0.16
1474829121,596.45,0.161
1474829121,596.45,0.161
1474829122,596.2,0.014
1474829122,596.14,0.199
1474829125,596.18,0.01
1474829126,596.14,0.507
1474829179,596.0,0.00841
1474829208,597.0,1.817
1474829328,597.0,1.683
1474829335,596.12,0.0420219
1474829335,596.12,0.36811189
1474829358,596.12,0.84041
1474829389,596.12,0.07925904
1474829453,596.12,0.13211161
1474829493,596.12,0.03488839
1474829494,596.12,0.168
1474829494,596.12,0.168
1474829494,596.0,0.13347604
1474829509,596.0,0.098
1474829511,596.0,0.07
1474829515,596.0,0.109
1474829517,596.0,0.02105388
1474829528,596.05,0.04
1474829528,596.05,0.16
1474829528,596.05,0.161
1474829529,596.05,0.161
1474829529,596.05,0.161
1474829529,596.05,0.162
1474829529,596.05,0.161
1474829529,597.0,0.5
1474829536,596.0,0.00841
1474829590,596.01,0.03
1474829590,596.01,0.167
1474829590,596.0,0.04039192
1474829622,597.87,0.1315669
1474829629,597.87,0.02002107
1474829681,596.5,0.01
1474829683,596.5,0.01
1474829685,596.5,0.01
1474829687,596.5,0.06
1474829691,596.5,0.01
1474829693,596.5,0.06
1474829695,596.5,0.011
1474829695,596.5,0.16
1474829695,596.5,0.16
1474829695,596.5,0.158
1474829698,596.5,0.003
1474829698,596.5,0.167
1474829698,596.5,0.168
1474829698,596.5,0.12
1474829699,596.5,0.01
1474829701,596.5,0.038
1474829702,596.5,0.161
1474829702,596.5,0.052
1474829704,596.5,0.03
1474829706,596.5,0.01
1474829708,596.5,0.069
1474829708,596.5,0.013
1474829710,596.5,0.012
1474829712,596.5,0.137
1474829712,596.5,0.162
1474829712,596.5,0.161
1474829712,596.5,0.162
1474829712,596.5,0.161
1474829712,596.5,0.16
1474829712,596.5,0.057
1474829714,596.5,0.0421
1474829715,597.84,0.10012712
1474829716,596.5,0.0619
1474829716,596.5,0.1441
1474829718,596.5,0.0159
1474829718,596.0,0.0171
1474829720,596.0,0.122
1474829723,596.0,0.059
1474829953,597.84,0.0083969
1474830030,596.37,0.0990804
1474830046,597.84,0.0083969
1474830249,597.84,0.0326
1474830253,596.45,2.44
1474830263,597.84,0.0153
1474830350,597.84,0.0953062
1474830350,597.84,0.161
1474830350,597.84,0.16
1474830351,597.84,0.161
1474830351,597.84,0.161
1474830351,597.84,0.161
1474830351,597.84,0.09820149
1474830451,597.84,0.06379851
1474830451,597.84,0.162
1474830451,597.84,0.161
1474830451,597.84,0.162
1474830451,597.84,0.161
1474830451,597.84,0.16
1474830452,597.84,0.161
1474830452,597.84,0.16
1474830458,597.84,0.619
1474830461,597.84,0.04
1474830463,597.84,0.0101837
1474830463,596.45,0.0198163
1474830465,596.36,0.05026
1474830467,596.36,0.05026
1474830469,596.2,0.05026
1474830528,597.99,0.00839479
1474830707,597.99,0.07986218
1474830756,597.99,0.04170638
1474830987,598.0,0.04170569
1474830993,596.44,0.03431039
1474831028,597.99,0.496721
1474831419,596.54,0.10398946
1474831441,598.0,0.03908184
1474831442,598.0,2.0
1474831523,598.0,0.265301
1474831532,596.54,0.0343052
1474831542,598.0,0.05172566
1474831631,598.0,0.15
1474831638,596.54,0.02170534
1474831638,596.54,0.14645662
1474831669,596.54,0.01354338
1474831669,596.54,0.161
1474831670,596.54,0.167
1474831670,596.54,0.169
1474831670,596.54,0.133
1474831670,596.54,0.169
1474831670,596.54,0.01890463
1474831734,596.54,0.14209537
1474831734,596.54,0.05946778
1474831827,598.0,0.02668896
1474831832,598.0,0.16665
1474831975,598.0,0.06672241
1474832077,596.97,0.16796729
1474832117,596.98,0.08061039
1474832174,597.0,0.828
1474832175,597.0,0.02472764
1474832181,598.0,0.35
1474832284,597.03,0.169
1474832284,597.03,0.1268
1474832318,597.04,0.09269877
1474832318,597.04,0.07630123
1474832318,596.65,0.33583987
1474832339,596.65,0.4
1474832345,598.0,0.146532
1474832412,597.6,0.0893
1474832412,597.6,0.057232
1474832552,597.6,0.103768
1474832552,597.6,0.05946778
1474832553,597.6,0.16
1474832553,597.6,0.01965244
1474832590,597.08,0.06593928
1474832709,597.1,0.02517218
1474832710,597.1,0.132
1474832745,597.6,0.093323
1474832790,597.1,0.08320437
1474832853,597.11,0.08569098
1474832866,597.6,0.04802456
1474832866,597.6,0.15197544
1474832892,597.6,0.00802456
1474832894,598.0,0.06779264
1474832933,597.05,0.16648076
1474832986,598.0,0.13635
1474833099,598.0,0.04925918
1474833161,598.0,0.009
1474833212,598.0,0.96319062
1474833214,598.28,0.03762452
1474833220,597.13,0.03764
1474833464,598.37,0.03170973
1474833575,598.37,0.00981623
1474833665,598.37,2.0
1474833675,598.37,0.45847404
1474833675,598.68,0.00053971
1474833676,599.23,2.45293455
1474833681,599.32,0.014
1474833681,599.33,0.44510181
1474833703,597.42,3.00913693
1474833703,597.42,0.168
1474833703,597.42,0.169
1474833703,597.42,0.167
1474833704,597.42,0.169
1474833704,597.42,0.16
1474833704,597.42,0.161
1474833704,597.42,0.161
1474833704,597.42,0.162
1474833704,597.42,0.169
1474833704,597.42,0.38854036
1474833944,599.45,0.0674024
1474833991,599.31,0.02033706
1474834051,599.3,2.7184
1474834051,599.3,1.2816
1474834209,597.68,1.87030173
1474834326,599.31,0.1515
1474834336,599.3,0.01022334
1474834405,597.78,0.286
1474834412,599.23,0.11993725
1474834435,598.7,0.04
1474834440,598.7,0.021
1474834442,598.7,0.129
1474834444,598.7,0.019
1474834444,598.7,0.041
1474834446,598.7,0.127
1474834446,598.7,0.054
1474834448,598.7,0.115
1474834448,597.8,0.293
